x,y,z,Position,clusters,company
-8.128507,0.40806073,9.924786,Advanced Data Analyst,15,
-13.15546,-3.027521,-0.43945622,Health and Benefits Analyst,1,NUNSYS
-12.689195,-2.533369,7.7073073,Data Science & Analytics Consultant I,1,Instituto de Investigación Biomédica de Salamanca - IBSAL
-15.8563385,-1.0855666,5.323282,Business Intelligence Analyst,1,Gobierno de la Ciudad de Buenos Aires
-9.513427,6.8964863,4.5783687,Solutions assistant,2,cerampakhsh
-1.0082568,-4.005004,5.412978,Analista Business Intelligence,3,Logista
-26.05464,-6.7474995,8.159898,Data Engineer,5,IQVIA Spain
-10.320663,8.929658,12.694107,Machine Learning Engineer,15,Tangelo
-11.808562,5.622772,11.62028,Artificial Intelligence Engineer | Machine Learning Engineer,15,WTW
-17.7434,-9.575654,12.641071,Data Analyst,8,KPMG España
-18.344341,-6.8622293,0.7836914,Senior Data Analyst,12,BairesDev
9.961408,-6.0864506,7.582393,Técnico Especialista de Apoyo a la Investigación ,6,NTT DATA Europe & LATAM
-18.182232,-6.950481,8.588689,Data Technician,12,Glüky Group
-17.655775,-15.05244,6.852963,Data Scientist,12,NTT DATA
-16.878246,-9.894501,12.593019,Data Analyst,8,Rolebot | AI-powered Job Board for Passive Talent
-8.710738,-0.5674896,1.6059073,Scientific Researcher,1,PartoTap Rayan
-13.025337,-8.815026,12.968107,Data-analyst,8,"Bank Sepah (بانک سپه , Sepah Bank)"
1.8951168,2.844823,-1.2026067,Global Talent Business Partner en etermax #BeAGameChanger,4,Capgemini
5.1202025,-5.53548,10.850123,Analista de datos,19,UC3M-Santander Big Data Institute (IBiDat)
3.1290245,-6.15393,8.819696,Jefe de Data y Analítica Digital,3,"Bluetab, an IBM Company"
2.133385,-1.8445001,-0.19571419,Sector Financiero ,3,Mática Partners S.L.
-5.4004025,-0.20533419,1.4739231,Developer,7,Miare
-17.875475,-1.4630314,11.733169,Data Management Specialist Intern,5,"MindLab - Machine learning, perception and discovery Lab"
-18.032707,-6.9787655,8.651357,Data Specialist,12,DevSavant
3.049384,2.0122118,1.7726111,Profesor particular de programación (python),11,etermax
5.1207833,-5.53498,10.850474,Analista de datos,19,Education Hub
-15.177102,-2.1614282,12.587387,Data Science Student,5,Seguros Bolívar S.A.
-17.751219,-9.412098,12.531725,Data Analyst,8,Indra
-13.0258045,-8.814803,12.967871,Data-analyst,8,Thinkinside
-13.025337,-8.815026,12.968107,Data-analyst,8,Experian
-17.782473,-9.163391,12.275994,Data Analyst,8,بانک توسعه تعاون
9.475951,-0.23866206,9.515263,Analista de soporte de aplicaciones,11,Autónomo
-18.843235,-1.3392779,9.303199,Data Engineer Sr Analyst,5,freelance
-9.370247,-9.502452,-2.9927554,Head of Artificial Intelligence,8,Flatiron School
-26.13453,-11.623352,8.551133,Data Engineer,12,Ventanilla Única Digital
-19.72529,-4.7866364,-6.7545843,Software Developer,5,Merkle España
-16.903318,-2.0730207,12.581847,Data Analyst Intern ,5,Zinobe
-17.563051,2.8437757,-9.494128,Marketing Analyst,16,SiteTuners
-11.987756,-2.4073412,7.0726514,Data Engineer Analyst - Strategy & Consulting | Applied Intelligence LATAM HUB,1,Voolkia Software & Services
-17.087868,-13.846803,7.5412846,Data Scientist,12,Accenture Argentina
-11.245134,4.3269014,-1.5761338,Technical Talent Acquisition Specialist,7,Medibio Limited
-18.172777,-7.5081544,4.193541,Senior Data Scientist,12,The Cocktail
0.67597306,8.212732,-10.095657,Co-Founder,13,"Ballast Lane Applications, LLC"
-17.087868,-13.846803,7.5412846,Data Scientist,12,Morningstar
-17.087868,-13.846803,7.5412846,Data Scientist,12,Facultad de Ingeniería | Universidad Austral
-17.087868,-13.846803,7.5412846,Data Scientist,12,Accenture Argentina
-11.186424,-6.3216295,2.473758,Director of Data Science / Artificial Intelligence Product Success & Solution Management,8,McKinsey & Company
-14.165241,5.1352057,9.429209,Senior Software Engineering Manager - AI/ML,15,Venon Solutions
-7.2253413,1.314253,-18.015448,CEO,16,Xepelin
-9.94243,-9.53573,-2.787403,Director of Artificial Intelligence,8,Rimutee
-17.06755,-9.62353,11.93597,Data Analyst,8,Rane Group
-17.087868,-13.846803,7.5412846,Data Scientist,12,"Automation Hero, Inc"
-15.856724,-1.0853243,5.3231325,Business Intelligence Analyst,1,Capgemini
-11.961435,-2.4883654,7.0004344,Data Engineer - Strategy & Consulting | Applied Intelligence LATAM HUB,1,SAP
-16.044615,5.954491,13.622336,Machine Learning Engineer,15,Serpro - The Brazilian Federal Government IT Company
-17.06755,-9.62353,11.93597,Data Analyst,8,Soukers Marketplace
-17.06755,-9.62353,11.93597,Data Analyst,8,DSpark
-11.034527,-7.2002497,1.2564707,"Analyst at Deloitte | AI, Cognitive & Advanced Analytics",8,Lingokids
14.672415,-0.038230017,2.4696853,Redes y Comunicaciones,6,IKCO گروه صنعتی ایران خودرو
-15.501766,6.190383,-0.8283968,Senior Artificial-Intelligence Product Manager,7,Cheil Worldwide
-16.996893,-8.329846,12.148641,Data Analyst,8,
-16.348955,-4.442943,2.5228646,Senior Data Analyst for HR,1,Accenture Argentina
-8.646943,-9.654081,-2.8446708,Co-Founder & Chief Artificial Intelligence Officer,8,supplai
-2.3417888,5.0744934,5.1024117,Master Thesis Student,2,Madrija Consultoria
-11.998156,8.455598,10.740273,Artificial Intelligence Engineer,15,ILERNA FP Online
-15.25657,4.7414036,-2.264123,Solutions Architect,7,Deloitte
2.6716335,0.08368405,9.071033,Ingeniero de Desarrollo de Software,11,DGRP
-7.0298657,-5.5767527,4.0259433,Data Engineer- Getnet - Santander,1,Universidad EAFIT
-5.8138,-1.0083841,-14.961203,Executive Director,16,SDG Group
0.6746447,8.211827,-10.095569,Co-Founder,13,Securitas Direct by Verisure
0.60692674,14.595528,2.9249525,Enthusiastic Kaggler,17,Legit Health
-10.241224,-5.8198967,3.316489,"Manager on Digital, Data Analytics & Artificial Intelligence",8,IUBH Online
-15.362021,9.079291,-4.361281,Business Developer - Services & Technology,7,
-8.8075905,12.214895,5.4693236,Software Engineer - Web UI SSr Adv,17,Redev Ltd
-16.910568,7.419843,-6.584056,Sr. Business Development Manager,16,Uni Systems
-5.749765,3.519442,-15.45168,CEO & Cofundador,4,BANRED S.A.
-9.768855,1.4889121,-1.1002872,Field Supervisor Engineer,7,Softtek
-9.196866,12.687885,-5.965716,Sales Division,4,KIO Artificial Intelligence
-15.264918,7.5261335,1.4860836,Software Developer and Consultant,2,Halley
-2.7032695,4.8206835,4.0641303,Student Mentor,2,Kaggle
-6.6411543,8.387844,9.476128,Head of Data,2,EY Technology Solutions
-9.805142,-7.2505417,2.318804,Head of Analytics and IT Architecture,8,SKF Group
-9.219475,-6.225944,-6.1196475,VP of Engineering,8,Globant
-8.710738,-0.5674896,1.6059073,Scientific Researcher,1,Keepler Data Tech
-1.1288979,4.3465266,3.148569,Lecturer,17,Kantoor
-7.316147,9.892701,7.7835503,Data Scientist - EY EMEIA FSO wavespace™ Artificial Intelligence Center,2,Ericsson
16.845688,4.6679277,3.8827822,Gerente de Arquitetura de Dados,0,"Publicity - PR, kommunikation og sociale medier"
-18.209724,1.4659677,-2.4627254,Senior Design Engineer,15,Okkralabs
-9.063615,-0.69346064,1.4804654,Research Scientist,1,DSC MESCOE
-16.224411,-15.259415,5.7578926,Data Scientist,12,Nojumo
0.06782698,12.270175,0.3467276,Lead,17,Voiter
-17.797668,-9.033083,12.224487,Data Analyst,8,Koa Health
-12.397861,0.9533199,12.073536,Data Scientist - AI,5,Smart Biosystem Laboratory AGR-278
-16.224411,-15.259415,5.7578926,Data Scientist,12,Universidad Adolfo Ibáñez
4.617041,2.9616947,3.5022018,Formación para emprendedores - Tutor de grupos de alumnos,11,EY
-7.928726,2.728459,8.126901,Data Analyst || Visualization and Reporting (Team Lead),15,RD
-7.596526,1.1947335,6.646921,"Solution Sales Professional - Data Platform (BI, Big Data, Cloud, on prem, IoT)",15,Mercado Libre
-13.870893,8.538893,-5.70134,Business Development,7,Bosch
-13.6194105,1.3489999,-4.855378,Senior Business Development Consultant,1,The Data Way
-16.224411,-15.259415,5.7578926,Data Scientist,12,EverestIMS Technologies Pvt. Ltd.
-11.034467,-7.2003293,1.2565194,"Analyst at Deloitte | AI, Cognitive & Advanced Analytics",8,sedna
-16.956158,-6.7093863,9.66911,Data Analytics Specialist,12,Komorebi AI
-16.224411,-15.259415,5.7578926,Data Scientist,12,SpectralGeo
-14.082807,-7.3188405,9.689563,Expert Data Scientist,12,ITBA Universidad
-21.301718,-4.2730947,6.7219677,Data Engineer,5,Cognizant
-12.677664,-6.083884,5.71118,Data Science & Analytics Manager,1,Microsoft
-1.2423873,-6.995998,6.0332317,Head of Artificial Intelligence and Data Science. DataFreak at Orange Spain,3,Apres
-9.370247,-9.502452,-2.9927554,Head of Artificial Intelligence,8,PiperLab
-4.805901,1.1227945,-3.5482662,DnA Senior Manager,7,Mática Partners
-4.1894217,7.4832306,-2.0423353,Client Partner,4,Deloitte
-6.3892074,7.8636165,7.8490205,Concept Innovation Manager - Data Analytics and AI,2,AstraZeneca
-11.794849,4.0354314,13.21724,Machine Learning Engineer,15,Spotify
-18.005327,-6.4830437,3.824068,Senior Data Scientist,12,will bank
-11.222324,-9.550728,-0.40856695,Sr. Director of Innovation and Data Science,8,AIB
-1.0398256,11.392037,-8.180214,Co-Founder HuemulSolutions,13,Accenture
-12.816844,-2.1086621,9.812433,Analytics and data analyst,1,Orange España
-8.4011135,4.1571445,7.284964,Project Manager Artificial Intelligence and Data  ,15,NTT DATA Europe & LATAM
-9.558115,-0.5682393,5.26727,Analytics & Cognitive Strategy Consultant,1,EY
-13.006156,-3.1101356,6.5110097,Lead Data Science Consultant ,1,Accubits Technologies Inc
-10.450232,5.2169356,11.43072,Ph.D. Student in Computer Science (Artificial Intelligence and Machine Learning),15,ASSA ABLOY Shared Technologies
-16.224411,-15.259415,5.7578926,Data Scientist,12,Quantiphi
-10.444013,11.403884,-2.9795108,"Director, LatAm Presales Solution Architecture",7,iGreenData
-11.99807,8.455455,10.740079,Artificial Intelligence Engineer,15,Teleperformance
0.7193091,14.773298,4.1128435,[ Garden Leave ],17,Huemul Solutions
-10.924678,-0.785331,3.8173664,Senior Analytics Manager | Digital Banking,1,GroupM
-11.416866,2.4682686,3.434679,Distinguished Engineer,2,Express Solutions Ltd 
-1.863346,-7.2658353,5.487702,Director de Machine Learning,3,Deloitte
3.9582548,0.5241148,9.19615,Développeur Web en intelligence artificielle,11,HCL Technologies
-12.241778,-2.4009502,5.529634,Designer - Analytics Consultant,1,Stanford University
-15.967076,-12.405129,3.0685444,Data Scientist,12,Grupo Bancolombia
-10.091604,5.947278,11.824105,Artificial Intelligence Intern,15,Iron Mountain
-11.046836,1.4019172,13.068929,Computational Scientist,15,Auxo Technology Labs Private Limited
-15.967076,-12.405129,3.0685444,Data Scientist,12,Banco Santander
-10.277667,-3.4380639,2.8319051,Corporate Innovation & Development Analytics Manager,8,Avatec.Ai
-8.407467,2.5826113,8.171539,Data & Intelligence Lead,15,Finastra
9.982726,-8.936757,10.06962,Analista de Negocio,19,CredibanCo
-12.6118145,-11.300234,-0.3738973,Chief Data Scientist,8,Interfacing.
-8.056569,5.6143713,8.242569,Enterprise Account Manager | Data & AI,15,Equifax Ecuador
-15.299373,-3.935611,5.0057344,Senior Data Scientist | Product ,1,Upwork
-2.7945764,9.731036,-9.921524,Co-Founder (CTO),13,Hilab
-11.506467,8.176876,2.0060725,Cognitive Architect & Delivery Technical Leader,2,Irish Centre for High-End Computing ICHEC
-9.676045,4.500729,9.368606,Artificial Intelligence & Data Partner,15,PiperLab
-15.920075,-13.913082,2.8054605,Data Scientist,12,Belcorp
-18.361153,2.4034157,-1.7031312,Senior Backend Engineer,15,Findasense
-15.920075,-13.913082,2.8054605,Data Scientist,12,Interbank
-15.774668,4.8278117,10.564979,Senior Machine Learning Engineer,15,ManuFactory GG
-11.301706,-6.137056,2.6068864,"Head of Data, Artificial Intelligence, CRM & Marketing Automation",8,IBM
-8.231207,8.981494,-1.8118942,"Senior Engineering Manager, Search Relevance ",2,Minsait
-3.7742383,6.00653,-3.108108,Credit & Manuel Review Sr Specialist,7,Rozett.Ai
-7.6808143,5.6249924,9.594209,Data Analytics & Artificial Intelligence (AI) / Azure Cloud  Engineer,15,IBM
-17.877085,-6.4060545,4.6314406,Senior Data Scientist,12,Deloitte
-16.618084,-8.983161,11.9492235,Data Analyst,8,Ryanair - Europe's Favourite Airline
-17.088493,-9.039847,11.763591,Data Analyst,8,WeHaveDevs 
-16.796057,-8.347827,12.151851,Data Analyst,8,wherEX
8.60798,-10.705242,-4.3727107,Coordinador General de Comunicación y Comunidad,14,LANDING AI
-13.842447,-4.761619,10.277551,Sr. Data Analyst,1,Iberia
14.926786,-3.8920934,-4.815484,Representante de cuentas,9,PedidosYa
9.475842,12.037469,-3.832908,Propietario,13,Conekta
-10.068258,-1.4537566,6.2028103,Business Data Architect,1,OZ
4.1017303,-11.305186,1.985217,Head de Arquitectura y Business Intelligence,14,GMV
-13.106959,-4.553349,8.97169,Data Analyst Ssr.,1,
-14.574498,-1.1036323,9.233535,Data Scientist & Product Analyst ,5,Exness
16.031055,9.116097,2.3553047,Jefe control de Gestión,0,Hiberus Tecnología
-16.903128,-2.0728843,12.581789,Data Analyst Intern,5,Naranja X
-17.595875,-9.2052145,11.924234,Data Analyst,8,ASEA. Asociación de Emprendedores de Argentina
1.9926896,-5.390671,5.358145,Analista de Business Intelligence,3,MSP Concepts
4.2303467,-11.520975,4.7180376,Analista Programador,3,Palta
-10.829917,2.5591815,-4.4644933,Outreach Specialist,7,
-4.143866,-0.55895954,-0.762981,Customer Service SR,7,Control+C. Libreria e Impresiones.
-16.094734,-2.7814865,11.685993,Junior Data Analyst,5,ExxonMobil
-0.017968519,-6.2577047,2.54216,Consultora BI,3,Grupo Iraola
-14.467477,-13.178182,2.8657029,Data Scientist,12,ERGO
-17.76307,5.8030243,-5.5163155,Business Developer,1,CODERE
8.517275,7.4758596,7.478671,Analista III - Gerencia de Servicios de Canales Electrónicos y Efectivo,10,Droguería Ñuñoa
-8.85067,-2.447147,6.646262, Consultor Business Intelligence,1,Mistral Business Solutions S.L.U.
-18.516678,-6.725766,4.226945,Senior Data Scientist,12,Hiraoka
-0.76340544,-4.3119082,1.9219792,Analista BI,3,Fintra S.A.
-6.886128,0.5425827,-0.09974886,Artificial Intelligence Manager,7,Indra
-0.25636896,-4.0565357,8.106498,Investigador Principal en el Proyecto Fin de Máster en Ingeniería de Datos Masivos (Big Data),3,BairesDev
3.4494076,-10.775842,4.6039386,Operador informático,3,Mercado Libre
13.808228,2.210354,9.158415,Catedra de Calidad y Técnicas de Gestión ,11,Parser
-3.0065515,-6.9594316,-2.2550464,Consultor BI,14,ITiers Data Sense (Analytics)
-2.4079685,-3.8887496,-0.37381497,Global Head of AI & Analytics en Telefonica IoT & Big Data Tech,3,RapidSOS
6.295191,-9.667607,-10.404087,DIRECTOR DE CATÁLOGO,14,Keypoint Solutions
-11.275349,-1.6636542,4.8251863,BI & Analytics Consultant,1,Bancolombia
-18.042246,-1.6316133,5.0667076,BI Analyst Sr.,1,Mérida Soft
-11.741033,-6.582412,11.154367,Data Scientist - Desarrollador,1,Walmart Chile
-15.208517,-11.236989,5.5183063,Data scientist,12,Prüne
-22.057863,-0.17246175,6.2447467,Senior Data Engineer,5,Accenture
-7.6938677,1.1388736,6.455095,Business Intelligence Lead,15,La Salle BCN
-5.7851763,-0.15563054,8.684156,Especialista BI & Analytics Ssr,15,Corte Suprema de Justicia - Paraguay
-14.287789,-0.40044472,9.469386,Data & BI Engineer,5,Facultad de Ciencias Económicas UNC
-0.90784216,-3.964682,7.217714,Especialista BI y Analytics,3,COREBI Data & Analytics
-14.506939,-12.076568,7.5982738,Data Scientist,12,Telefónica
-11.766326,-8.04681,1.8266056,Associate Director Data & Artificial Intelligence,8,Universidad de las Americas
-9.93957,-6.242234,2.682876,Director Artificial Intelligence & Advanced Analytics,8,
-11.921247,-0.079849705,9.504115,Data quality assurance engineer ,5,Pi Data Strategy & Consulting
-17.058302,-9.89919,12.658391,Data Analyst,8,The Black Puma Ai
-6.1644955,13.519882,1.0716143,Team Lead Content Curation,17,BORT - Asistente virtual
-9.776407,-5.9769826,2.366341,Associate Director - A.I. Model Development,15,Making Science
-16.996893,-8.329846,12.148641,Data Analyst,8,Starship Technologies
1.9926896,-5.390671,5.358145,Analista de Business Intelligence,3,Integra International Services
-1.1974154,-4.114765,6.8557634,Especialista BI & Analytics,3,Quales Group
-15.39577,-5.3268595,9.642224,Associate Data Scientist,12,Softtek
-3.7584064,9.87344,-11.384159,CEO and Co-Founder,13,Quales Group
-9.590999,-8.084681,4.038565,Data Science Team Leader,1,ELITE SPORTS 17 S.L.
-15.226343,-13.111717,7.187949,Data Scientist,12,NEORIS
-0.6520883,14.251226,-1.0792098,Visiting Scholar,17,TELUS
-9.985412,-9.70336,-3.1718628,Director Artificial Intelligence,8,Applaudo Studios
-10.325518,-6.958028,0.51695335,"Account Executive, Artificial Intelligence ",8,Deloitte
-8.56507,-9.677059,-2.8513126,Co-Founder | Head of Artificial Intelligence,8,QIAGEN
-9.264978,-9.493768,-3.0066795,Chief AI Officer,8,UBS
-6.910255,1.8502127,-17.349453,CEO,16,COREBI Data & Analytics
-7.4853835,-1.0798768,7.0635395,Business Intelligent Analyst,1,Voolkia Software & Services
-1.9996804,9.158177,-13.3416,Founder and CEO,13,Quales Group
-10.787469,-5.6479974,3.270303,Artificial Intelligence & Analytics Manager,8,R2
-16.74942,-12.775841,6.124808,Data Scientist,12,Connectif Artificial Intelligence
-0.017955322,-6.2576647,2.5421703,Consultora BI,3,RockingData
-0.7106338,13.525667,-7.2560263,Founder,13,IBM
2.4015944,-8.807483,-5.7357736,Chief Technology Officer | Gerente de Tecnología,14,
-15.219597,4.8598585,10.686354,Junior Machine Learning Engineer,15,The Hong Kong University of Science and Technology
-9.881986,-9.6462965,-6.0325794,Chief Technology Officer,8,Mastercard
-11.66541,7.6167483,9.878856,Artificial Intelligence Programmer,15,TransPerfect
-5.7230735,3.977886,-13.098308,Chief Executive Officer,4,AILY LABS GmbH
-2.0425189,9.214818,-13.308576,Founder & CEO,13,Trustnet-CCL
-7.7634597,1.6606115,-16.638466,CEO,16,Global Technology Solutions
-9.37048,-9.502517,-2.9941976,Head of Artificial Intelligence,8,Rappi
2.6921012,-9.690265,-9.090269,Director de desarrollo de productos,14,GETTER - Amplified Industry
-11.752156,7.641236,9.972266,Artificial Intelligence Developer,15,Cognizant
-14.392215,3.5147312,-3.023717,Advanced Consultant- A,7,AI Trading Global Group
-11.998293,8.455802,10.740168,Artificial Intelligence Engineer,15,Taligent - Business Analytics
-11.389653,-4.711371,1.5145019,Artificial Intelligence Specialist,1,Sparkd - AI for Business Growth 
-11.215859,1.5972632,13.133714,Machine Learning Scientist,15,Anastasia - Inteligencia Artificial
-11.998313,8.456006,10.740091,Artificial Intelligence Engineer,15,Press'nXPress
-2.8041372,-3.8169756,-0.19370559,Director of Data & Artificial Intelligence for Latin America - Customer Success,3,SingularityDAO
-11.998139,8.455564,10.740222,Artificial Intelligence Engineer,15,Artificial Intelligence 
2.9005485,-6.189001,8.424327,Gerente de Dados e Analytics,3,Artificial Intelligence Expert
-6.905122,0.5741934,-0.11855217,Artificial Intelligence Program Manager,7,Ai India Innovation Center
-16.907557,-12.573862,5.9648457,Data Scientist,12,Inclusion The Cloud Company
-8.954818,7.710767,-8.776668,Commercial Management,7,AXA
-10.612168,5.648818,9.571517,Artificial Intelligence Consultant at Google Cloud,15,Anastasia - Artificial Intelligence
-6.781054,-0.56003976,7.7369623,Business Analytics,15,Freelance
-12.529631,5.992117,11.4579525,Machine Learning Dev,15,Capgemini Engineering
-15.856677,-1.0853515,5.323045,Business Intelligence Analyst,1,Dhvani Analytic Intelligence
-16.697094,-13.120014,6.143587,Data Scientist,12,Banco Azteca
-10.067623,-1.5690595,5.8359575,Business Intelligence Architect,1,Amazon
-17.997265,-1.5805731,5.1947865,BI Analyst,1,Cloud Solutions
-12.129916,0.8620251,6.047525,Senior Power Bi Developer,1,Microsoft
-15.55106,0.828426,10.201365,Big Data Engineer,5,E&S Global
12.787223,2.167902,-3.982652,Abogado procurador,6,Multilaser Industrial S/A
-7.9893966,-6.2643304,-1.5006618,Project Manager,8,BrightSoft
-2.782863,4.735446,0.66394526,Jr Designer,7,Cervecería Nacional
-0.037710834,-12.305736,-2.5856953,Consultora BI Jr.,3,Sofía Ltda. 
-0.98722804,-5.681518,0.8920645,Desarrollador Junior BI,3,Google
4.3251076,5.3182397,-1.2722127,Auxiliar BI,11,
-18.903614,-1.4461092,9.780748,Junior Data Engineer,5,Planeamiento & Gestión
-14.101037,-3.0473216,0.8119235,Junior BI Analyst,1,UBA IALAB
-22.182999,-8.913951,0.6268437,Data Engineer,12,Datalytics
-19.134497,-2.3380384,9.293134,Data Engineer Jr,5,Mercado Libre
0.23572235,-5.9388885,2.1526966,Desarrollador Power Bi,3,ConsumerAffairs
-20.261942,-4.58785,13.518577,Data Engineer,12,Ualá
-12.977563,-6.4157357,5.9311376,Data Science Manager,1,Kastech Software Solutions Group
-17.075573,-9.129818,11.74701,Data Analyst,8,PinApp Development
-9.529947,-0.2774344,9.266848,BI Data Analyst,15,Estudio Juridico
-23.193993,-6.1830206,7.43512,Data Engineer,5,NTT DATA Europe & LATAM
0.6751731,8.212091,-10.095165,Co-Founder,13,NTT DATA Europe & LATAM
3.3381271,-10.033537,-0.37924463,Consultor de inteligencia empresarial,3,Corebi
-18.862307,-1.3916402,9.620705,Jr. Data Engineer,5,Makers Solutions S.A.S
-16.87145,-12.659301,6.0180635,Data Scientist,12,Prodeman S. A.
-16.41572,-8.677593,12.1677685,Data Analyst,8,NTT DATA Europe & LATAM
-23.512629,-3.9190044,9.680565,Data Engineer,5,GLOBAL HITSS 
-10.9321375,12.825211,5.583358,Dev Python ,2,Datalytics
-18.6167,-2.4353397,7.6669955,DataOps Engineer,5,Naranja X
-18.297995,1.8597696,-2.132162,Senior Tech Support Engineer,15,ITiers Data Sense (Analytics)
-3.583457,10.88727,6.144472,Environmental project in technology,17,etermax
-8.933141,14.181329,4.936981,C++ Developer (intern),17,BHP
-13.485267,1.0693904,6.596873,BI Developer,1,SDG Group
-21.916471,-4.828961,5.332571,Data Engineer,5,Newsan
-8.308923,-1.2213897,5.5829473,Business and RPA analyst,1,Datalytics
-14.121773,-5.583838,7.122832,Data Engineering Manager,5,Visión Fractal
13.049503,1.6015574,-5.2501287,Instrumentadora Quirúrgica,6,OnData Group
-16.946682,4.7514524,13.088146,Machine Learning Engineer,15,
-23.95651,-5.760686,4.693209,Data Engineer,5,NTT DATA Europe & LATAM
-16.877466,-12.468807,5.938881,Data scientist,12,Mercado Libre
5.1205907,-5.5349774,10.8502655,Analista de datos,19,NTT DATA Europe & LATAM
-23.296734,-5.1377277,10.338606,Data Engineer,5,Datalytics
-16.938522,-12.509329,5.9122567,Data Scientist,12,Profesional independiente
-9.458407,-9.542059,0.15393655,Co-founder - Data Scientist,8,Naranja X
-19.822552,-4.8432064,11.660406,Data Engineer,5,Hospital Materno Neonatal
5.3364587,-4.558763,10.772669,Asesor en Dirección de Datos y Análisis estadístico,19,Universidad de Buenos Aires
-16.370502,2.6605432,-1.1291323,Technology Consulting Senior,15,LISN - Laboratoire Interdisciplinaire des Sciences du Numérique
-15.651335,-4.276436,1.9044626,Senior Business Intelligence Analyst,1,Readiness Global
-10.548069,13.13091,5.5107436,Junior Python Developer,2,Coppel
-17.874683,-6.354581,4.532671,Senior Data Scientist,12,MajorKey Technologies
-18.483854,-2.0252938,5.132018,Analista Senior Business Intelligence,1,Accenture
-16.795877,-0.50825465,2.796537,Operations/Business Automation Analyst,1,Clínica Sucre
-14.51473,-5.3252597,11.150977,Data Scientist Sr.,12,DeepAgro
-8.33238,1.0735269,10.534348,Quantitative Developer,15,Devlights - Argentina
-16.513634,3.2300189,13.237099,Machine Learning Engineer,15,Banco Hipotecario
-17.72169,-8.550223,12.361704,Data Analyst,8,OCASA
-2.5668788,11.786455,2.9392765,Post Sales Operation,17,Pi Data Strategy & Consulting
-13.991796,-3.131012,0.6154353,Junior Analyst N3,1,Egg Cooperation
-22.174423,-4.2194037,11.5082855,Data Engineer,5,Wais
-16.773142,-13.033419,6.1230893,Data Scientist,12,etermax
-22.708965,-5.9264855,4.6973443,Data Engineer,5,Secretaría de Economía y Finanzas - Municipalidad de Córdoba
-16.401665,2.371816,2.3081632,DevOps Engineer,15,EY
3.8271787,-6.9042053,-4.7285614,Supervisor Comercial - Peugeot,14,Boehringer Ingelheim
-13.894428,0.17980158,10.858844,Data analyst and data engineer,5,BB
-13.191442,-2.271284,9.455543,BI & Data Analyst,1,Venten
-22.242588,-3.8661091,14.292454,Data Engineer,5,Optical Networks
-6.7066236,4.1896157,7.8800774,Data Analytics Manager,15,Swift Homes
-12.720969,-1.1888357,3.0786908,BI Consultant,1,Santander Tecnología Argentina
-12.518889,-9.277081,5.7861743,Lead Data Scientist,12,Alma Global
-17.603922,-13.122785,6.8525786,Data Scientist,12,HatchWorks
-7.6726365,1.9647439,3.0632486,User Experience Researcher,7,PedidosYa
-10.851125,0.91710377,12.581794,Data Scientist - Physicist,15,PropHero
-14.592327,-1.685537,0.4191685,Business Analysis  Sr. Advisor,1,NTT DATA Europe & LATAM
-24.824493,-3.6419823,5.247169,Data engineer,5,Libgot 
-9.973108,-1.3954425,5.0285225,Power BI Consultant,1,Despegar
-23.318165,-4.5005527,5.159223,Data Engineer,5,
